	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219
chr1	10	9	4	8	9	15	26	30	41	42	40	69	67	63	87	114	128	136	133	192	268	251	230	230	271	289	363	353	429	508	649	643	596	470	514	526	525	541	635	700	958	1121	1067	928	851	713	680	757	827	928	1074	1242	1105	1135	1024	982	981	975	1205	1235	1430	1595	1603	1469	1326	1223	1242	1404	1383	1533	1923	2235	2636	2349	1958	1653	1439	1568	1776	1762	2058	2473	2980	3419	3520	3079	2624	2674	2844	3182	3751	4328	4307	4389	4502	4496	4454	4273	4547	4562	4733	4978	5382	5335	4924	4992	5010	5461	5825	6351	6795	6720	7076	7378	8191	8803	9436	9198	9062	8779	8214	7938	7433	7512	7163	7233	7046	6702	6177	5468	5122	4597	4268	3914	3550	3480	3152	3097	2795	2560	2294	2106	1816	1680	1509	1348	1252	1204	1039	1045	887	821	728	620	535	465	439	429	401	371	315	315	249	205	194	173	169	126	136	117
chr2	11	16	11	20	11	15	21	22	32	33	51	58	58	68	89	92	123	128	175	230	202	220	243	230	245	349	327	431	435	527	705	673	604	582	517	571	587	603	660	839	1008	1169	1157	1045	847	844	775	769	967	1049	1180	1383	1248	1293	1161	1061	1014	1131	1102	1289	1479	1799	1650	1618	1292	1287	1354	1374	1513	1662	2001	2397	2714	2629	2089	1774	1627	1833	1823	1926	2179	2609	3218	3731	3674	3334	2796	2735	3065	3595	4101	4731	4738	4856	4633	4744	4656	4618	4667	4802	5275	5402	5806	5641	5322	5243	5330	5858	6316	6996	7254	7357	7457	8073	8725	9508	9867	9894	9795	9190	8944	8479	8109	7825	7772	7822	7601	7334	6694	5964	5467	5124	4536	4034	3926	3625	3461	3359	2957	2772	2575	2173	2119	1734	1651	1410	1395	1257	1169	1135	1074	930	821	718	648	563	540	468	460	405	370	320	290	249	230	203	181	154	156	120
chr3	5	6	7	12	16	9	24	25	40	27	58	41	47	64	76	79	99	105	126	161	198	229	197	231	240	280	275	298	374	474	559	536	507	478	448	482	510	533	502	676	785	986	1007	816	698	706	627	662	811	887	960	1123	1155	972	955	907	913	892	972	1113	1285	1441	1444	1333	1182	975	1090	1204	1183	1501	1645	2060	2213	2127	1785	1423	1444	1362	1463	1588	1878	2175	2788	3063	3134	2635	2383	2386	2583	2870	3324	3801	3990	4038	3787	3878	3954	3931	3996	4087	4253	4624	4773	4810	4540	4387	4548	4623	5117	5645	6073	6207	6266	6718	7161	7946	8241	7986	8042	7939	7419	6965	6420	6501	6435	6535	6278	6140	5420	4845	4465	4086	3693	3287	3156	2977	2868	2705	2549	2320	2018	1810	1561	1505	1424	1184	1068	1087	921	935	801	678	673	546	554	464	424	378	330	287	248	261	265	240	159	156	140	136	112	104
chr4	7	3	8	9	8	12	24	26	26	35	37	27	42	48	58	60	110	117	124	160	204	196	160	224	220	261	247	278	347	454	514	529	458	430	372	432	443	457	558	619	845	902	857	722	666	573	611	631	731	790	946	1039	1014	953	900	771	823	898	920	1076	1284	1410	1373	1176	1059	998	1019	1077	1121	1195	1582	1882	2138	2019	1632	1339	1257	1257	1432	1445	1665	2063	2518	2986	2919	2595	2258	2114	2420	2618	3122	3495	3585	3760	3696	3754	3585	3501	3530	3678	3870	4198	4438	4446	4087	3999	4140	4381	4912	5178	5520	5769	6011	6199	6748	7397	7704	7741	7576	7188	6916	6459	6220	6126	6076	6034	5905	5522	5162	4624	4270	3808	3422	3205	2994	2836	2660	2515	2370	2115	1919	1753	1525	1397	1302	1168	1062	1001	905	814	782	665	589	505	485	491	434	365	309	287	265	283	231	186	169	153	133	124	136	103
chr5	5	1	8	9	7	11	18	16	12	24	39	43	42	47	62	76	93	105	132	120	163	184	163	219	230	209	240	297	320	426	464	536	449	404	370	432	410	441	474	598	697	850	907	784	639	602	580	534	675	810	925	959	903	932	899	748	753	837	850	992	1170	1310	1343	1122	1046	920	1043	1012	1132	1190	1509	1817	1984	1910	1522	1316	1268	1218	1306	1454	1510	1957	2369	2772	2850	2538	2143	2049	2251	2517	3167	3324	3558	3479	3377	3436	3514	3423	3486	3570	3712	4056	4431	4324	3957	3883	3981	4223	4654	5125	5383	5481	5645	5873	6585	7072	7340	7262	7053	6853	6710	6280	5884	5723	5621	5863	5727	5304	4883	4401	4085	3609	3447	3094	2820	2768	2500	2405	2284	2048	1882	1624	1523	1329	1248	1082	887	927	978	817	760	635	550	538	442	425	345	349	294	281	251	202	233	183	184	134	124	120	134	94
chr6	7	3	10	11	7	18	23	20	22	25	35	55	34	46	72	74	77	85	140	162	149	192	165	226	192	238	239	258	323	367	440	530	431	384	384	414	388	425	482	608	711	825	828	734	572	555	557	552	676	760	772	919	888	944	811	703	759	785	780	913	1126	1294	1292	1106	937	929	879	951	1080	1204	1411	1759	1905	1918	1507	1212	1216	1257	1287	1356	1525	1876	2269	2644	2685	2318	2115	1979	2179	2593	2911	3461	3298	3269	3446	3407	3208	3245	3195	3596	3751	3999	4141	4120	3806	3746	3825	4061	4457	4659	5099	5115	5326	5583	6179	6780	7035	7049	6873	6533	6262	5798	5659	5674	5457	5515	5511	4961	4680	4191	3784	3391	3127	3002	2744	2611	2403	2382	2152	1886	1776	1573	1298	1195	1115	1014	927	986	907	754	712	645	572	529	427	413	400	332	283	267	216	233	177	150	166	125	116	134	83	96
chr7	1	4	2	9	7	13	11	16	15	26	25	32	42	40	54	40	50	96	89	142	135	125	145	168	197	190	233	267	273	367	417	460	415	324	340	326	355	326	365	467	600	706	720	650	496	459	529	523	560	671	704	834	724	766	735	656	678	703	745	766	953	1065	1102	856	862	795	774	901	959	987	1192	1492	1716	1544	1195	1049	1011	1031	1155	1198	1305	1616	2023	2310	2378	1989	1712	1719	1832	2185	2456	2974	2814	2987	2990	2904	2832	2940	2955	2960	3260	3410	3577	3494	3305	3261	3317	3556	3854	4085	4293	4564	4509	4867	5313	5939	6074	6064	5980	5635	5454	5178	4932	4691	4758	4669	4679	4352	3903	3646	3397	3079	2667	2645	2394	2316	2028	2059	1879	1755	1548	1414	1264	1156	1012	910	829	751	747	680	609	532	515	411	406	360	307	274	258	225	214	223	191	164	149	124	122	112	88	73
chr8	2	9	6	6	18	14	12	13	32	20	33	38	40	47	58	46	67	93	96	128	144	111	162	143	168	215	195	257	265	354	373	430	408	337	291	337	354	376	441	522	636	691	716	579	500	549	450	459	545	619	735	783	785	789	720	607	666	681	649	862	937	1107	1072	966	825	812	830	781	860	1031	1225	1500	1644	1552	1234	1052	986	1057	1112	1106	1322	1622	1962	2146	2235	2049	1690	1746	1876	2213	2456	2808	2858	2913	2808	2873	2869	2848	2906	2855	3051	3363	3489	3444	3226	3212	3242	3496	3942	4094	4207	4597	4545	4961	5203	5884	5887	5992	5898	5705	5547	5114	4729	4888	4709	4696	4577	4542	4145	3776	3378	3005	2817	2490	2302	2248	1999	2059	1928	1738	1512	1398	1110	1101	973	929	800	753	703	676	657	573	485	449	362	378	305	276	298	226	193	206	196	154	147	127	114	106	74	76
chr9	2	1	2	4	7	8	9	8	20	17	33	25	43	37	35	44	41	63	70	93	120	105	134	131	128	144	154	196	221	268	345	319	286	283	235	252	261	285	321	375	475	557	556	476	389	355	385	387	404	471	573	633	586	596	525	505	486	509	557	611	713	839	810	680	567	585	646	636	652	760	960	1177	1306	1247	919	753	753	815	809	852	1026	1210	1465	1681	1698	1567	1338	1315	1403	1632	1822	2121	2238	2167	2156	2257	2180	2112	2210	2225	2353	2577	2668	2641	2617	2405	2502	2809	2851	3043	3365	3417	3509	3699	4034	4368	4660	4566	4521	4247	4135	3794	3683	3738	3544	3609	3468	3307	3141	2775	2464	2184	2023	1892	1743	1781	1578	1447	1402	1356	1034	972	879	797	727	760	672	595	573	555	467	426	382	336	312	246	267	220	175	200	165	154	168	135	95	83	75	70	71	52
